,title,author,publication_day,publication_month,publication_year,format,current_price,original_price
197,Anxious People,Fredrik Backman,19,8,2021,Paperback,12.98,12.98
198,The Brightest Night (Wings of Fire Graphic Novel 5 ),Tui T. Sutherland,7,10,2021,Paperback,13.41,13.41
199,Beano Annual 2022,,1,8,2021,Hardback,15.69,15.69
200,Go Tell the Bees that I am Gone,Diana Gabaldon,23,11,2021,Paperback,22.84,24.04
201,The Montessori Baby,Simone Davies,11,5,2021,Paperback,19.04,19.95
202,God Emperor Of Dune,Frank Herbert,28,1,2021,Paperback,17.03,17.03
203,The Shadow and Bone Trilogy Boxed Set,Leigh Bardugo,14,11,2017,Paperback,38.55,38.55
204,Where's Spot?,Eric Hill,16,6,2011,Board book,9.95,9.95
205,The Art of War,Sun Tzu,14,10,2011,Paperback,7.25,7.25
206,Surrounded by Idiots,Thomas Erikson,30,7,2019,Paperback,12.74,13.72
207,Lit from Within,Sarah Powers,2,11,2021,Paperback,17.86,19.95
208,Range,David Epstein,1,10,2020,Paperback,13.36,15.1
209,The Lean Startup,Eric Ries,13,10,2011,Paperback,20.78,20.78
210,Never Let Me Go,Kazuo Ishiguro,1,2,2010,Paperback,11.61,11.61
211,The Unhoneymooners,Christina Lauren,14,5,2020,Paperback,11.3,12.35
212,Playing Big,Tara Mohr,12,3,2015,Paperback,12.97,13.72
213,The Mountain Is You,Brianna Wiest,1,6,2020,Paperback,27.55,27.55
214,Christians,Greg Sheridan,6,1,2022,Paperback,35.85,35.85
215,The Courage To Be Disliked,Ichiro Kishimi,23,7,2019,Paperback,18.86,18.86
216,It Starts with the Egg,Rebecca Fett,28,2,2019,Paperback,22.76,22.76
217,"Set Boundaries, Find Peace",Nedra Glover Tawwab,30,3,2021,Paperback,15.88,20.59
218,"Get A Life, Chloe Brown",Talia Hibbert,5,11,2019,Paperback,14.88,14.88
219,The Snail and the Whale,Julia Donaldson,4,6,2006,Paperback,9.9,9.9
220,"Oh, The Places You'll Go!",Dr. Seuss,1,6,2017,Paperback,9.8,15.5
221,"Chainsaw Man, Vol. 7",Tatsuki Fujimoto,28,10,2021,Paperback,8.94,9.99
222,Daisy Jones and The Six,Taylor Jenkins Reid,9,1,2020,Paperback,15.91,15.91
223,The Comfort Book,Matt Haig,6,7,2021,Hardback,26.74,26.74
225,What to Do When You Worry Too Much,Dawn Huebner,15,9,2005,Paperback,16.67,16.99
226,Can't Hurt Me,David Goggins,11,10,2018,Paperback,25.34,25.34
227,Misfits,Michaela Coel,7,9,2021,Hardback,12.82,13.72
228,Percy Jackson and the Olympians,Rick Riordan,3,6,2014,Paperback,45.94,45.94
229,Unbound,Tarana Burke,14,9,2021,Hardback,21.39,27.48
